qid,gender,citizenship,occupation,cause_of_death
Q337295,male,Norway,auditor|civil servant|politician,prostate cancer
Q344152,male,United Kingdom,association football coach|association football player,prostate cancer
Q349785,male,United States,economist|politician|banker,prostate cancer
Q360661,male,Japan,artistic gymnast,stomach cancer
Q361235,male,United States,professional wrestler|catch trainer,stomach cancer
Q353978,male,United States,television actor|film actor|drill instructor|director|voice actor|television producer|comedian|actor|screenwriter,pneumonia
Q335384,male,Peru,Catholic theologian|philosopher|university teacher|theologian|Catholic priest,pneumonia
Q335855,male,United States,autobiographer|film actor|boxer|stage actor|writer,pneumonia
Q340196,male,United States,singer|entertainer|actor,pneumonia
Q333638,male,Spain,senior lecturer|chemist|politician,stroke
Q351156,male,United States,presenter|television actor|voice actor|comedian|actor,leukemia
Q355314,male,United States,manager|journalist|entrepreneur|engineer|businessperson|writer,kidney failure
Q346785,male,United States,rock musician|guitarist|record producer|composer,heart failure
Q345494,male,Japan,recording artist|music arranger|university teacher|film score composer|keyboardist|pianist|record producer|conductor|composer|actor,colorectal cancer
Q348205,male,Russia|Soviet Union,university teacher|philatelist|politician|aircraft pilot|astronaut,stomach cancer
Q3553614,male,Russia|Soviet Union,personal stylist|fashion designer|editor-in-chief|painter|television presenter|editing staff,kidney cancer
Q36107,male,United States,boxer,respiratory disease
Q346565,male,United States,guitarist|singer-songwriter|singer|composer,heart disease
Q339581,male,Russia|Soviet Union,memoirist|drama teacher|film director|public figure|writer|actor|screenwriter,falling from height
Q345571,male,Spain|Colombia,journalist|diplomat|politician|lawyer|writer,kidney infection
Q348445,male,United States,dub actor|film actor|television actor|stage actor|television director|actor,metastatic lung carcinoma
Q352730,male,United States,children's writer|film actor|television actor|director|stage actor|singer|actor,motorcycle accident
Q3349343,male,India|British Raj|Dominion of India,politician,COVID-19
Q3595818,male,India|British Raj,philosopher|peace activist|translator|ulema,COVID-19
Q334126,male,Chile,writer,COVID-19
Q336711,male,Serbia,Eastern Orthodox priest|university teacher,COVID-19
Q342045,male,Serbia|Socialist Federal Republic of Yugoslavia|Federal Republic of Yugoslavia,rock musician|television actor|film director|guitarist|lyricist|singer-songwriter|singer|poet|composer|writer|actor,COVID-19
Q351732,male,Japan|Empire of Japan,judoka|karateka|film producer|stunt coordinator|film director|lyricist|seiyū|stunt performer|singer|composer|actor,COVID-19
Q352030,male,Czech Republic|Czechoslovakia,theatre director|film director|writer|pedagogue|actor|screenwriter,COVID-19
Q337359,male,Brazil,jazz musician|music arranger|bandleader|musician|songwriter|pianist|singer|record producer|composer,long covid
Q356140,male,United States,recording artist|songwriter|pianist|singer-songwriter|musician|singer|record producer,cardiovascular disease
Q348896,male,Czech Republic|Czechoslovakia,politician|lawyer,amyotrophic lateral sclerosis
Q343075,male,United Kingdom,bassist|guitarist|singer-songwriter|singer|record producer,pancreatic cancer
Q352422,male,United States,stockbroker|politician|businessperson|writer,multiple myeloma
Q340016,male,United States,science fiction writer|essayist|short story writer|film actor|novelist|musician|playwright|poet|writer|actor|screenwriter,liver cancer
Q350107,male,France|Ivory Coast,association football player|association football coach,non-Hodgkin lymphoma
Q342600,male,Vietnam,communist|politician|minister,multiple organ dysfunction syndrome
Q349852,male,United States,film actor|television actor|film producer|voice actor|pornographic actor|actor|screenwriter,intracranial aneurysm
Q3350657,male,Serbia|Kosovo,economist|politician,gunshot wound|assassination
Q336412,male,Cambodia,politician|military personnel,lung disease
Q344655,male,United States|United Kingdom,film actor|television actor|voice actor|stage actor|comedian|singer|actor,head and neck cancer
Q337226,male,France,film actor|television actor|director|film producer|film director|writer|actor|screenwriter,pancreatitis
Q347958,male,United States,jurist|entrepreneur|lawyer|screenwriter,cerebral hemorrhage
Q349585,male,Serbia,association football player|association football coach,pancreatitis
Q337891,male,North Macedonia,stage actor|guitarist|singer|actor,drug overdose
Q361415,male,Poland,Research Cosmonaut|aircraft pilot|military officer|astronaut,surgical complications
Q34105,male,Egypt|Kingdom of Egypt|Republic of Egypt|United Arab Republic,aircraft pilot|military personnel|politician|vice president|president,surgical complications
Q333686,male,France,sociologist|university teacher,
Q333701,male,Ireland,diplomat|politician,
Q333722,female,United Kingdom,autobiographer|politician,
Q333968,male,United Kingdom of Great Britain and Ireland,university teacher|mathematician,
Q333975,male,Russia,university teacher|mathematician,
Q334134,male,Egypt|France,geopolitical analyst|academic|economist|politician|writer,
Q335027,male,United States|South Africa,artificial intelligence researcher|university teacher|educator|psychologist|mathematician|computer scientist,
Q335038,male,United Kingdom,land owner|diplomat|politician,
Q335071,male,United Kingdom,aristocrat|television presenter|historian|diplomat|politician|writer,
Q335078,male,United Kingdom,editor|journalist|politician,
Q335189,male,United Kingdom,prehistorian|anthropologist|archaeologist|university teacher|politician,
Q335260,male,United Kingdom,philanthropist|fashion photographer|designer|aristocrat|director|filmmaker|photographer,
Q335701,male,Venezuela,boxer,
Q335848,male,United Kingdom,university teacher|economist|politician|writer,
Q336011,male,United Kingdom,autobiographer|trade unionist|aircraft pilot|politician,
Q336024,male,France,television writer|film screenwriter|producer|music video director|film producer|director|film director|television director|television producer|writer|screenwriter,
Q336046,male,France,witness filmed|librettist|university teacher|author|politician|lawyer,
Q336265,male,Cape Verde,politician,
Q336388,male,United States,pianist|conductor,
Q336397,male,United States|United Kingdom,ecologist|university teacher|zoologist|physicist|politician|engineer,
Q336921,female,United Kingdom,philosopher|university teacher|politician|writer,
Q339293,male,Russia|Soviet Union,association football player|association football coach,
Q339344,male,United States,film actor|comedian|actor,
Q340251,male,Italy,Catholic theologian|theologian|Catholic bishop|Catholic priest|diplomat|archbishop,
Q342381,male,France,conductor,
Q342424,male,Bulgaria,association football player|association football coach,
Q344729,male,Greece,lawyer|president|judge,
Q344902,male,United Kingdom,association football coach|association football player,
Q345212,male,United States,film actor|film director|television actor|stage actor|photographer|actor,
Q345300,male,United States,anthropologist|university teacher,
Q345481,male,Kingdom of the Netherlands,submariner|naval officer|politician,
Q345612,male,United States,literary theorist|literary historian|literary critic|journalist|university teacher|writer,
Q345673,male,United States,woodworker|athletics competitor|sprinter|farmer,
Q346540,male,France|United Kingdom,film actor|theatre director|television actor|stage actor|painter|writer|actor,
Q346602,male,United States,American football player|athletics competitor|sprinter,
Q346976,male,Italy|Kingdom of Italy,film director|politician|screenwriter,
Q347362,male,United States,political analyst|essayist|literary theorist|philosopher|literary critic|sociologist|journalist|university teacher|editor|political scientist|politician|teacher|writer,
Q347635,male,France,dub actor|film actor|television actor|voice actor|stage actor|actor|screenwriter,
Q348037,male,Russia|Soviet Union,non-fiction writer|chess player|pianist|engineer|actor,
Q348050,male,United States,cinematographer,
Q348117,female,Turkey,prose writer|novelist|playwright|writer|journalist,
Q348652,male,Belgium|Georgia|Soviet Union,film score composer|composer,
Q349057,male,United Kingdom,audio engineer|record producer,
Q350478,male,Poland,association football player|association football coach,
Q350714,male,United States,actor,
Q350717,male,United Kingdom,producer|trade unionist|film actor|director|film producer|film director|television director|screenwriter,
Q351222,male,Poland,linguist|essayist|novelist|university teacher|writer|poet|translator|author,
Q351697,,,,
Q351822,male,United States,university teacher|mathematician,
Q351849,male,United States,film actor|television actor|stage actor|voice actor|actor,
Q352539,male,Italy,fashion designer|entrepreneur|businessperson,
Q353007,male,United States,bass guitarist,
Q353407,male,United States,university teacher|mathematician,
Q353411,male,Japan|United States,university teacher|mathematician,
Q353762,male,Spain,essayist|novelist|literary editor|journalist|poet|writer|screenwriter,
Q354301,male,United States,sprinter,
Q354335,male,United Kingdom,music educator|film score composer|composer,
Q354371,male,France,draftsperson|caricaturist|visual artist|comics artist|painter|cartoonist|illustrator|writer,
Q354705,male,Saint Vincent and the Grenadines,politician,
Q354755,male,Italy|Kingdom of Italy,anthropologist|novelist|journalist|university teacher|poet|writer,
Q355053,male,Australia,military officer|politician,
Q355241,male,Estonia|Soviet Union,politician,
Q355648,male,Serbia|Kosovo|Serbia and Montenegro|Kingdom of Yugoslavia|Socialist Federal Republic of Yugoslavia|Albanian Kingdom|Federal Republic of Yugoslavia|Democratic Federal Yugoslavia|Federal People's Republic of Yugoslavia|Italian protectorate of Albania,human rights defender|politician|writer,
Q360138,male,Laos,politician|military personnel,
Q360445,male,United States,electrical engineer|university teacher|inventor|physicist|scientist|engineer,
Q360563,male,People's Republic of China|Republic of China,politician,
Q360827,male,Kingdom of Denmark,editorial cartoonist|caricaturist|journalist|painter|cartoonist,
Q360832,male,Chile,academic|physicist|mathematician|poet|writer,
Q361032,male,Czech Republic|Czechoslovakia,exlibrist|draftsperson|scenographer|caricaturist|graphic artist|postage stamp designer|film director|painter|animator|illustrator|writer|screenwriter,
Q361443,male,United States,film producer|film director|television producer|actor|screenwriter,
Q3345399,male,India,singer|politician|composer|actor,
Q3351697,male,India,dancer|film producer|television actor|playback singer|television presenter|stunt performer|record producer|actor,
Q3361617,female,United Kingdom,autobiographer|film actor|stage actor|actor,
Q3365419,female,Sweden,artistic gymnast,
Q3376801,,,,
Q3395844,trans woman,United Kingdom,essayist|journalist|historian|writer,
Q3427179,female,France,film actor|dub actor|stage actor,
Q3470006,female,Palestine,anthologist|literary critic|historian|translator|poet,
Q3484613,female,France,pediatric nurse|French resistance fighter,
Q3503911,male,Czech Republic|Czechoslovakia,Olympic competitor|rower|athlete,
Q3507721,male,Croatia|Yugoslavia|Socialist Federal Republic of Yugoslavia,rower,
Q3521068,female,India|British Raj|Dominion of India,actor,
Q3546382,male,United States,concept artist|designer|background artist|lithographer|ceramicist|painter,
Q3595303,female,India,actor,
Q3595473,female,Somalia,humanitarian|gynecologist|human rights defender|jurist|physician|lawyer,
Q3595893,male,India,recording artist|film director|lyricist|singer|composer|actor|screenwriter,
